Rank,Title,Best Quartile,Publisher,Core Collection
7801,Australasian Emergency Care,Q1,Elsevier Sci Ltd,Science Citation Index Expanded | Social Sciences Citation Index
7802,Asia and the Pacific Policy Studies,Q1,,
7803,Policy Studies,Q1,Routledge Journals,Social Sciences Citation Index
7804,American Journal of Dentistry,Q2,Mosher & Linder,Science Citation Index Expanded
7805,Journal of Global Information Management,Q2,Igi Global,Social Sciences Citation Index
7806,Journal of Deaf Studies and Deaf Education,Q2,Oxford Univ Press,Social Sciences Citation Index
7807,Wave Motion,Q2,Elsevier,Science Citation Index Expanded
7808,Comptes Rendus - Palevol,Q2,,
7809,Journal of Paleontology,Q2,Cambridge Univ Press,Science Citation Index Expanded
7810,International Journal for Uncertainty Quantification,Q2,Begell House Inc,Science Citation Index Expanded
7811,International Journal of Simulation Modelling,Q2,Daaam International Vienna,Science Citation Index Expanded
7812,Ecological Complexity,Q2,Elsevier,Science Citation Index Expanded
7813,Photosynthetica,Q2,Acad Sciences Czech Republic,Science Citation Index Expanded
7814,IET Electrical Systems in Transportation,Q2,Inst Engineering Technology-Iet,Science Citation Index Expanded
7815,Physiological Measurement,Q2,Iop Publishing Ltd,Science Citation Index Expanded
7816,Review of International Economics,Q2,Wiley,Social Sciences Citation Index
7817,Arthroscopy Techniques,Q2,Elsevier,Emerging Sources Citation Index
7818,Journal of Cardiovascular Surgery,Q2,Edizioni Minerva Medica,Science Citation Index Expanded
7819,Wilderness and Environmental Medicine,Q2,,
7820,Parkinson's Disease,Q3,,
7821,Defence and Peace Economics,Q1,Taylor & Francis Ltd,Social Sciences Citation Index
7822,English Language and Linguistics,Q1,,
7823,Operations Research Letters,Q2,Elsevier,Science Citation Index Expanded
7824,"Asia-Pacific Journal of Sports Medicine, Arthroscopy, Rehabilitation and Technology",Q2,,
7825,Frontiers in Bioscience - Landmark,Q2,,
7826,Polymer Journal,Q2,Springernature,Science Citation Index Expanded
7827,Journal of Advanced Transportation,Q2,Wiley-Hindawi,Science Citation Index Expanded
7828,Algorithms for Molecular Biology,Q2,Bmc,Science Citation Index Expanded
7829,Journal of Insect Science,Q2,Oxford Univ Press Inc,Science Citation Index Expanded
7830,European Journal of Transport and Infrastructure Research,Q2,Editorial Board Ejtir,Social Sciences Citation Index
7831,Chronic Illness,Q2,Sage Publications Ltd,Science Citation Index Expanded | Social Sciences Citation Index
7832,International Journal of Experimental Pathology,Q2,Wiley,Science Citation Index Expanded
7833,Pharmacopsychiatry,Q2,Georg Thieme Verlag Kg,Science Citation Index Expanded
7834,Infectious Agents and Cancer,Q3,Bmc,Science Citation Index Expanded
7835,Australian Journal of Social Issues,Q1,Wiley,Social Sciences Citation Index
7836,Innovation: The European Journal of Social Science Research,Q1,,
7837,Public Relations Inquiry,Q1,Sage Publications Ltd,Emerging Sources Citation Index
7838,International Journal of Immunopathology and Pharmacology,Q2,Sage Publications Inc,Science Citation Index Expanded
7839,Journal of Thermal Science,Q2,Springer,Science Citation Index Expanded
7840,Acta Geophysica Sinica,Q2,,
7841,Journal of software: Evolution and Process,Q2,,
7842,Bioprocess and Biosystems Engineering,Q2,Springer,Science Citation Index Expanded
7843,Journal of Building Performance Simulation,Q1,Taylor & Francis Ltd,Science Citation Index Expanded
7844,Journal of Natural Medicines,Q1,Springer Japan Kk,Science Citation Index Expanded
7845,Food and Nutrition Research,Q2,,
7846,Heat Transfer Engineering,Q2,Taylor & Francis Inc,Science Citation Index Expanded
7847,Earthquake Engineering and Engineering Vibration,Q2,Springer,Science Citation Index Expanded
7848,"Journal of comparative psychology (Washington, D.C. : 1983)",Q2,,
7849,Computational and Applied Mathematics,Q2,,
7850,Journal of Fractal Geometry,Q2,European Mathematical Soc-Ems,Science Citation Index Expanded
7851,Zeitschrift fur Analysis und ihre Anwendung,Q2,,
7852,Visual Computer,Q2,Springer,Science Citation Index Expanded
7853,Advances in Medical Sciences,Q2,Elsevier Urban & Partner Sp Z O O,Science Citation Index Expanded
7854,Cell Division,Q3,Bmc,Science Citation Index Expanded
7855,"Sport, Ethics and Philosophy",Q1,,
7856,Metals,Q1,Mdpi,Science Citation Index Expanded
7857,Amphibian and Reptile Conservation,Q1,,
7858,Current Pharmaceutical Design,Q2,Bentham Science Publ Ltd,Science Citation Index Expanded
7859,Ecotoxicology,Q2,Springer,Science Citation Index Expanded
7860,Journal of Solid State Chemistry,Q2,Academic Press Inc Elsevier Science,Science Citation Index Expanded
7861,Journal of Electromagnetic Engineering and Science,Q2,Korean Inst Electromagnetic Engineering & Science,Science Citation Index Expanded
7862,International Journal of the Economics of Business,Q2,Routledge Journals,Emerging Sources Citation Index
7863,Strategic Change,Q2,,
7864,Oceanologia,Q2,Polish Acad Sciences Inst Oceanology,Science Citation Index Expanded
7865,Fungal Biology,Q2,Elsevier Sci Ltd,Science Citation Index Expanded
7866,International Journal of Wireless Information Networks,Q2,Springer,Emerging Sources Citation Index
7867,Journal of Materials Science: Materials in Medicine,Q2,,
7868,Vasa - European Journal of Vascular Medicine,Q2,,
7869,Journal of Academic Ethics,Q1,Springer,Emerging Sources Citation Index
7870,Domestic Animal Endocrinology,Q1,Elsevier Science Inc,Science Citation Index Expanded
7871,English Teaching and Learning,Q1,Springer Singapore Pte Ltd,Emerging Sources Citation Index
7872,Sociological Quarterly,Q1,Taylor & Francis Inc,Social Sciences Citation Index
7873,Plasma Processes and Polymers,Q2,Wiley-V C H Verlag Gmbh,Science Citation Index Expanded
7874,Dynamic Games and Applications,Q2,Springer Birkhauser,Science Citation Index Expanded
7875,Economic Change and Restructuring,Q2,Springer,Social Sciences Citation Index
7876,International Journal of Speleology,Q2,Societa Speleologica Italiana,Science Citation Index Expanded
7877,Journal of Mountain Science,Q2,Science Press,Science Citation Index Expanded
7878,Journal of Water and Climate Change,Q2,Iwa Publishing,Science Citation Index Expanded
7879,Qualitative Market Research,Q2,Emerald Group Publishing Ltd,Emerging Sources Citation Index
7880,BioControl,Q2,Springer,Science Citation Index Expanded
7881,Hormone and Metabolic Research,Q2,Georg Thieme Verlag Kg,Science Citation Index Expanded
7882,Canadian Journal of Infectious Diseases and Medical Microbiology,Q3,,
7883,Journal of Patient Safety,Q1,Lippincott Williams & Wilkins,Science Citation Index Expanded | Social Sciences Citation Index
7884,Bioethics,Q1,Wiley,Science Citation Index Expanded | Social Sciences Citation Index
7885,"Philosophy, Psychiatry and Psychology",Q1,,
7886,Extremes,Q1,Springer,Science Citation Index Expanded
7887,Natural Language Engineering,Q1,Cambridge Univ Press,Science Citation Index Expanded | Social Sciences Citation Index | Arts & Humanities Citation Index
7888,Journal of Polymer Science,Q2,Wiley,Science Citation Index Expanded
7889,Polymer International,Q2,Wiley,Science Citation Index Expanded
7890,Palaios,Q2,Sepm-Soc Sedimentary Geology,Science Citation Index Expanded
7891,International Journal of Strategic Property Management,Q2,Vilnius Gediminas Tech Univ,Social Sciences Citation Index
7892,Electronic Transactions on Numerical Analysis,Q2,Kent State University,Science Citation Index Expanded
7893,Healthcare Informatics Research,Q2,Korean Soc Medical Informatics,Emerging Sources Citation Index
7894,International Journal of Injury Control and Safety Promotion,Q2,Taylor & Francis Ltd,Social Sciences Citation Index
7895,Journal of Public Affairs Education,Q2,Routledge Journals,Emerging Sources Citation Index
7896,Journal of Community Genetics,Q2,Springer Heidelberg,Emerging Sources Citation Index
7897,Molecular Biology Reports,Q2,Springer,Science Citation Index Expanded
7898,Research in Veterinary Science,Q1,Elsevier Sci Ltd,Science Citation Index Expanded
7899,Chiropractic and Manual Therapies,Q1,,
7900,Plant Health Progress,Q1,Amer Phytopathological Soc,Emerging Sources Citation Index
7901,Race and Justice,Q1,Sage Publications Inc,Social Sciences Citation Index
7902,Applied Nursing Research,Q2,W B Saunders Co-Elsevier Inc,Science Citation Index Expanded | Social Sciences Citation Index
7903,Journal of Modelling in Management,Q2,Emerald Group Publishing Ltd,Emerging Sources Citation Index
7904,Plasma Chemistry and Plasma Processing,Q2,Springer,Science Citation Index Expanded
7905,Journal of Nanotechnology,Q2,Hindawi Ltd,Emerging Sources Citation Index
7906,Journal of Regulatory Economics,Q2,Springer,Social Sciences Citation Index
7907,Food Additives and Contaminants: Part B Surveillance,Q2,,
7908,ACM Transactions on Accessible Computing,Q2,Assoc Computing Machinery,Emerging Sources Citation Index
7909,Journal of Marine Engineering and Technology,Q2,Taylor & Francis Ltd,Science Citation Index Expanded
7910,Biotechnology and Genetic Engineering Reviews,Q2,Taylor & Francis Ltd,Science Citation Index Expanded
7911,Clinical and Experimental Dermatology,Q2,Oxford Univ Press,Science Citation Index Expanded
7912,Journal of Ultrasound,Q2,Springer Int Publ Ag,Emerging Sources Citation Index
7913,Skin Research and Technology,Q2,Wiley,Science Citation Index Expanded
7914,Frontiers of Agricultural Science and Engineering,Q1,Higher Education Press,Emerging Sources Citation Index
7915,Australian Journal of Grape and Wine Research,Q1,Wiley,Science Citation Index Expanded
7916,Symbiosis,Q1,Springer,Science Citation Index Expanded
7917,Literacy,Q1,Wiley,Social Sciences Citation Index | Arts & Humanities Citation Index
7918,Meditteranean Politics,Q1,,
7919,Systems Research and Behavioral Science,Q1,Wiley,Social Sciences Citation Index
7920,Carbon Letters,Q2,Springer Japan Kk,Science Citation Index Expanded
7921,Journal of Hand Therapy,Q2,Hanley & Belfus-Elsevier Inc,Science Citation Index Expanded
7922,Journal of the Knowledge Economy,Q2,Springer,Social Sciences Citation Index
7923,Insect Systematics and Evolution,Q2,,
7924,Advances in Mathematics of Communications,Q2,Amer Inst Mathematical Sciences-Aims,Science Citation Index Expanded
7925,"Symmetry, Integrability and Geometry: Methods and Applications (SIGMA)",Q2,,
7926,Methods and Protocols,Q2,Mdpi,Emerging Sources Citation Index
7927,European Urology Open Science,Q2,Elsevier,Science Citation Index Expanded
7928,Journal of Cancer Policy,Q2,Elsevier Sci Ltd,Emerging Sources Citation Index
7929,Journal of Infection and Chemotherapy,Q2,Elsevier,Science Citation Index Expanded
7930,Women and Health,Q2,,
7931,Meteorology and Atmospheric Physics,Q3,Springer Wien,Science Citation Index Expanded
7932,"Comparative Immunology, Microbiology and Infectious Diseases",Q1,,
7933,Empirical Studies of the Arts,Q1,Sage Publications Inc,Social Sciences Citation Index | Arts & Humanities Citation Index
7934,International Criminal Justice Review,Q1,Sage Publications Inc,Emerging Sources Citation Index
7935,Journal of Human Rights,Q1,Routledge Journals,Social Sciences Citation Index
7936,Law and Social Inquiry,Q1,,
7937,Optics Communications,Q2,Elsevier,Science Citation Index Expanded
7938,Roeper Review,Q2,,
7939,"Journal of Hospitality, Leisure, Sport and Tourism Education",Q2,,
7940,Journal of Commutative Algebra,Q2,Rocky Mt Math Consortium,Science Citation Index Expanded
7941,Statistical Inference for Stochastic Processes,Q2,Springer,Emerging Sources Citation Index
7942,Willdenowia,Q2,Botanischer Garten & Botanische Museum Berlin-Dahlem,Science Citation Index Expanded
7943,Inventions,Q2,Mdpi,Emerging Sources Citation Index
7944,Journal of Behavioral Health Services and Research,Q2,,
7945,Journal of Comparative Effectiveness Research,Q2,Becaris Publishing,Science Citation Index Expanded
7946,Pediatric Surgery International,Q2,Springer,Science Citation Index Expanded
7947,Reviews in Cardiovascular Medicine,Q2,Imr Press,Science Citation Index Expanded
7948,Swiss Medical Weekly,Q2,E M H Swiss Medical Publishers Ltd,Science Citation Index Expanded
7949,Clinical Neurophysiology Practice,Q3,Elsevier,Emerging Sources Citation Index
7950,Psychiatrische Praxis,Q3,Georg Thieme Verlag Kg,Social Sciences Citation Index
7951,Journal of Pharmaceutical Policy and Practice,Q1,Springernature,Emerging Sources Citation Index
7952,Eurasian Economic Review,Q1,Springer Heidelberg,Emerging Sources Citation Index
7953,Review of World Economics,Q1,Springer,Social Sciences Citation Index
7954,Natural Hazards Review,Q1,Asce-Amer Soc Civil Engineers,Science Citation Index Expanded | Social Sciences Citation Index
7955,CNS and Neurological Disorders - Drug Targets,Q2,,
7956,Current Drug Metabolism,Q2,Bentham Science Publ Ltd,Science Citation Index Expanded
7957,International Journal of Genomics,Q2,Hindawi Ltd,Science Citation Index Expanded
7958,Catalysis Letters,Q2,Springer,Science Citation Index Expanded
7959,Australasian Journal of Environmental Management,Q2,Taylor & Francis Ltd,Social Sciences Citation Index
7960,SoftwareX,Q2,Elsevier,Science Citation Index Expanded
7961,Annals of Noninvasive Electrocardiology,Q2,Wiley,Science Citation Index Expanded
7962,Journal of Cutaneous Pathology,Q2,Wiley,Science Citation Index Expanded
7963,JRAAS - Journal of the Renin-Angiotensin-Aldosterone System,Q2,,
7964,Orthopedic Research and Reviews,Q2,Dove Medical Press Ltd,Emerging Sources Citation Index
7965,Sexual Health,Q2,Csiro Publishing,Science Citation Index Expanded | Social Sciences Citation Index
7966,Future of Children,Q1,,
7967,Journal of the Australian Library and Information Association,Q1,Routledge Journals,Social Sciences Citation Index
7968,Journal of Propulsion and Power,Q2,Amer Inst Aeronautics Astronautics,Science Citation Index Expanded
7969,Journal of Voice,Q2,Mosby-Elsevier,Science Citation Index Expanded
7970,Journal of Optometry,Q2,Elsevier,Emerging Sources Citation Index
7971,Bioorganic and Medicinal Chemistry,Q2,,
7972,Meccanica,Q2,Springer,Science Citation Index Expanded
7973,IEEE Journal of the Electron Devices Society,Q2,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
7974,Geologica Belgica,Q2,Geologica Belgica,Science Citation Index Expanded
7975,Fottea,Q2,Czech Phycological Soc,Science Citation Index Expanded
7976,Microbes and Environments,Q2,Japanese Soc Microbial Ecology,Science Citation Index Expanded
7977,IEEE Design and Test,Q2,,
7978,"IET Microwaves, Antennas and Propagation",Q2,,
7979,Mycotoxin Research,Q2,Springer Heidelberg,Science Citation Index Expanded
7980,Development Southern Africa,Q2,Routledge Journals,Social Sciences Citation Index
7981,Journal of Children's Orthopaedics,Q2,,
7982,Journal of Research in Nursing,Q1,Sage Publications Ltd,Emerging Sources Citation Index
7983,L'Encephale,Q1,,
7984,Journal of Economic Methodology,Q1,Routledge Journals,Social Sciences Citation Index
7985,Journal of Thermal Biology,Q1,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded
7986,Celebrity Studies,Q1,Routledge Journals,Social Sciences Citation Index | Arts & Humanities Citation Index
7987,Food Science and Biotechnology,Q2,Korean Society Food Science & Technology-Kosfost,Science Citation Index Expanded
7988,Annales Geophysicae,Q2,Copernicus Gesellschaft Mbh,Science Citation Index Expanded
7989,Journal of Radiation Research,Q2,Oxford Univ Press,Science Citation Index Expanded
7990,Dynamics of Atmospheres and Oceans,Q2,Elsevier,Science Citation Index Expanded
7991,Bulletin of Environmental Contamination and Toxicology,Q2,Springer,Science Citation Index Expanded
7992,Engineering in Life Sciences,Q2,Wiley,Science Citation Index Expanded
7993,Journal of Psychoeducational Assessment,Q2,Sage Publications Inc,Social Sciences Citation Index
7994,Knowledge and Process Management,Q2,Wiley,Emerging Sources Citation Index
7995,Evolutionary Intelligence,Q2,Springer Heidelberg,Emerging Sources Citation Index
7996,Positivity,Q2,Springer,Science Citation Index Expanded
7997,Fly,Q2,Taylor & Francis Inc,Science Citation Index Expanded
7998,Computers,Q2,Mdpi,Emerging Sources Citation Index
7999,Journal of Tissue Viability,Q2,Elsevier Sci Ltd,Science Citation Index Expanded | Social Sciences Citation Index
8000,Microbiology and Immunology,Q3,Wiley,Science Citation Index Expanded
8001,Journal of the American College of Nutrition,Q2,,
8002,Biomicrofluidics,Q2,Aip Publishing,Science Citation Index Expanded
8003,Journal of Computational Biology,Q2,Mary Ann Liebert,Science Citation Index Expanded
8004,Quarterly of Applied Mathematics,Q2,Brown Univ,Science Citation Index Expanded
8005,Sbornik Mathematics,Q2,Steklov Mathematical Inst,Science Citation Index Expanded
8006,Emergencias,Q2,Soc Espanola Medicina Urgencias & Emergencias - Semes,Science Citation Index Expanded
8007,Journal of Veterinary Behavior: Clinical Applications and Research,Q1,,
8008,Al-Jami'ah,Q1,,
8009,International Journal of Offender Therapy and Comparative Criminology,Q1,Sage Publications Inc,Social Sciences Citation Index
8010,Italian Journal of Animal Science,Q1,Taylor & Francis Ltd,Science Citation Index Expanded
8011,All Azimuth,Q1,,
8012,Behavioral Sciences and the Law,Q1,,
8013,Mini-Reviews in Medicinal Chemistry,Q2,Bentham Science Publ Ltd,Science Citation Index Expanded
8014,Beilstein Journal of Nanotechnology,Q2,Beilstein-Institut,Science Citation Index Expanded
8015,Journal of Organizational Behavior Management,Q2,Routledge Journals,Social Sciences Citation Index
8016,Journal of Applied Entomology,Q2,Wiley,Science Citation Index Expanded
8017,Bladder Cancer,Q2,Ios Press,Science Citation Index Expanded
8018,International Journal of Impotence Research,Q2,Springernature,Science Citation Index Expanded
8019,Journal of AAPOS,Q2,Mosby-Elsevier,Science Citation Index Expanded
8020,Journal of Laryngology and Otology,Q2,Cambridge Univ Press,Science Citation Index Expanded
8021,Journal of Orthopaedics,Q2,Elsevier,Emerging Sources Citation Index
8022,Yonsei Medical Journal,Q2,Yonsei Univ Coll Medicine,Science Citation Index Expanded
8023,Anemia,Q3,Hindawi Ltd,Emerging Sources Citation Index
8024,International Emergency Nursing,Q1,Elsevier Sci Ltd,Science Citation Index Expanded | Social Sciences Citation Index
8025,ISIJ International,Q1,Iron Steel Inst Japan Keidanren Kaikan,Science Citation Index Expanded
8026,Journal of Wine Economics,Q1,Cambridge Univ Press,Science Citation Index Expanded | Social Sciences Citation Index
8027,Zoology,Q1,,
8028,Deviant Behavior,Q1,Taylor & Francis Inc,Social Sciences Citation Index
8029,Public Health Ethics,Q2,Oxford Univ Press,Science Citation Index Expanded | Social Sciences Citation Index
8030,JOM,Q2,Springer,Science Citation Index Expanded
8031,Journal of Hydrologic Engineering - ASCE,Q2,,
8032,Moscow Mathematical Journal,Q2,Independent Univ Moscow-Ium,Science Citation Index Expanded
8033,International Journal on Semantic Web and Information Systems,Q2,Igi Global,Science Citation Index Expanded
8034,Transactions on Architecture and Code Optimization,Q2,,
8035,Endocrine Research,Q2,Taylor & Francis Inc,Science Citation Index Expanded
8036,Journal of Obstetrics and Gynaecology Canada,Q2,Elsevier Inc,Emerging Sources Citation Index
8037,Neuroimaging Clinics of North America,Q2,W B Saunders Co-Elsevier Inc,Science Citation Index Expanded
8038,Advances in Pharmacological and Pharmaceutical Sciences,Q1,Hindawi Ltd,Emerging Sources Citation Index
8039,College Composition and Communication,Q1,Natl Council Teachers English,Arts & Humanities Citation Index
8040,Global Media and China,Q1,Sage Publications Ltd,Emerging Sources Citation Index
8041,Journal of Applied Biobehavioral Research,Q1,,
8042,Journal of Information Science,Q1,Sage Publications Ltd,Science Citation Index Expanded | Social Sciences Citation Index
8043,VINE Journal of Information and Knowledge Management Systems,Q1,Emerald Group Publishing Ltd,Emerging Sources Citation Index
8044,Head and Face Medicine,Q2,,
8045,Bioenergy Research,Q2,Springer,Science Citation Index Expanded
8046,Clinical Nursing Research,Q2,Sage Publications Inc,Science Citation Index Expanded | Social Sciences Citation Index
8047,"Journal of Vibration and Acoustics, Transactions of the ASME",Q2,,
8048,Science and Public Policy,Q2,Oxford Univ Press,Social Sciences Citation Index
8049,International Journal of Intelligent Computing and Cybernetics,Q2,Emerald Group Publishing Ltd,Emerging Sources Citation Index
8050,Policy Futures in Education,Q2,Sage Publications Ltd,Emerging Sources Citation Index
8051,Teacher Development,Q2,Routledge Journals,Emerging Sources Citation Index
8052,Physical and Occupational Therapy in Pediatrics,Q1,,
8053,Journal of Humanistic Psychology,Q1,Sage Publications Inc,Social Sciences Citation Index
8054,Journal of Applied Accounting Research,Q1,Emerald Group Publishing Ltd,Emerging Sources Citation Index
8055,Journal fur Ornithologie,Q1,,
8056,Architectural Science Review,Q1,Taylor & Francis Ltd,Arts & Humanities Citation Index
8057,Journal of Human Behavior in the Social Environment,Q1,Routledge Journals,Emerging Sources Citation Index
8058,Statistica Neerlandica,Q2,Wiley,Science Citation Index Expanded
8059,Journal of Pharmacokinetics and Pharmacodynamics,Q2,Springer/Plenum Publishers,Science Citation Index Expanded
8060,Journal of Thermal Stresses,Q2,Taylor & Francis Inc,Science Citation Index Expanded
8061,Fibers,Q2,Mdpi,Emerging Sources Citation Index
8062,Arthropod-Plant Interactions,Q2,Springer,Science Citation Index Expanded
8063,Journal of Sustainable Water in the Built Environment,Q2,Asce-Amer Soc Civil Engineers,Emerging Sources Citation Index
8064,Brain Injury,Q2,Taylor & Francis Ltd,Science Citation Index Expanded | Social Sciences Citation Index
8065,Management Research,Q2,,
8066,Performance Evaluation,Q2,Elsevier,Science Citation Index Expanded
8067,AIDS Research and Treatment,Q2,Hindawi Ltd,Emerging Sources Citation Index
8068,Auris Nasus Larynx,Q2,Elsevier Sci Ltd,Science Citation Index Expanded
8069,Geriatric Orthopaedic Surgery and Rehabilitation,Q2,,
8070,Heart and Vessels,Q2,Springer,Science Citation Index Expanded
8071,Journal of Ophthalmic and Vision Research,Q2,,
8072,Proteomics - Clinical Applications,Q3,,
8073,Journal of Nervous and Mental Disease,Q3,Lippincott Williams & Wilkins,Science Citation Index Expanded | Social Sciences Citation Index
8074,Journal of Pediatric Nursing,Q1,,
8075,Steel Research International,Q1,Wiley-V C H Verlag Gmbh,Science Citation Index Expanded
8076,Journal of Theoretical Biology,Q1,Academic Press Ltd- Elsevier Science Ltd,Science Citation Index Expanded
8077,African Studies Review,Q1,Cambridge Univ Press,Social Sciences Citation Index
8078,Communication Studies,Q1,Routledge Journals,Emerging Sources Citation Index
8079,Intersecciones en Antropologia,Q1,Univ Nacl Centro Provincia Buenos Aires (Unicen),Social Sciences Citation Index | Arts & Humanities Citation Index
8080,International Journal of Sustainable Energy,Q2,Taylor & Francis Ltd,Emerging Sources Citation Index
8081,Food and Nutrition Bulletin,Q2,Sage Publications Inc,Science Citation Index Expanded
8082,Journal of Pharmacy and Pharmaceutical Sciences,Q2,Frontiers Media Sa,Science Citation Index Expanded
8083,Experimental and Applied Acarology,Q2,Springer,Science Citation Index Expanded
8084,Acta Physiologiae Plantarum,Q2,Springer Heidelberg,Science Citation Index Expanded
8085,Journal of Computer Science and Technology,Q2,Science Press,Science Citation Index Expanded
8086,"Journal of the Urban Planning and Development Division, ASCE",Q2,,
8087,Current Opinion in Anaesthesiology,Q2,,
8088,International Relations,Q1,Sage Publications Ltd,Social Sciences Citation Index
8089,Oncology Nursing Forum,Q2,Oncology Nursing Soc,Science Citation Index Expanded | Social Sciences Citation Index
8090,Scientia Pharmaceutica,Q2,Mdpi,Emerging Sources Citation Index
8091,SynOpen,Q2,Georg Thieme Verlag Kg,Emerging Sources Citation Index
8092,Autoimmune Diseases,Q2,Hindawi Ltd,Emerging Sources Citation Index
8093,Mine Water and the Environment,Q2,Springer Heidelberg,Science Citation Index Expanded
8094,Journal of Hydro-Environment Research,Q2,Elsevier,Science Citation Index Expanded
8095,American Family Physician,Q2,Amer Acad Family Physicians,Science Citation Index Expanded
8096,Chinese Clinical Oncology,Q2,Ame Publishing Company,Emerging Sources Citation Index
8097,European Journal of Trauma and Emergency Surgery,Q2,Springer Heidelberg,Science Citation Index Expanded
8098,Hereditas,Q2,Bmc,Science Citation Index Expanded
8099,International Journal of Ophthalmology,Q2,Ijo Press,Science Citation Index Expanded
8100,Journal of Public Health Research,Q2,Sage Publications Inc,Emerging Sources Citation Index
8101,Saudi Journal of Gastroenterology,Q3,Wolters Kluwer Medknow Publications,Science Citation Index Expanded
8102,Histochemistry and Cell Biology,Q1,Springer,Science Citation Index Expanded
8103,Religious Studies,Q1,Cambridge Univ Press,Arts & Humanities Citation Index
8104,Raffles Bulletin of Zoology,Q1,Natl Univ Singapoire,Science Citation Index Expanded
8105,Subterranean Biology,Q1,Int Soc Subterranean Biol,Science Citation Index Expanded
8106,New Genetics and Society,Q2,Routledge Journals,Science Citation Index Expanded | Social Sciences Citation Index
8107,Current Gene Therapy,Q2,Bentham Science Publ Ltd,Science Citation Index Expanded
8108,Research in Astronomy and Astrophysics,Q2,Natl Astronomical Observatories,Science Citation Index Expanded
8109,Advanced Manufacturing: Polymer and Composites Science,Q2,,
8110,"Bulletin of Irkutsk State University, Series Mathematics",Q2,,
8111,Monatshefte fur Mathematik,Q2,Springer Wien,Science Citation Index Expanded
8112,Bulletin of Entomological Research,Q2,Cambridge Univ Press,Science Citation Index Expanded
8113,Journal of Social Work Education,Q2,Routledge Journals,Social Sciences Citation Index
8114,Biomarkers,Q2,Taylor & Francis Ltd,Science Citation Index Expanded
8115,Ciencia e Saude Coletiva,Q2,,
8116,Folia Neuropathologica,Q2,Termedia Publishing House Ltd,Science Citation Index Expanded
8117,Journal of Robotic Surgery,Q2,Springernature,Science Citation Index Expanded
8118,Experimental Psychology,Q1,Hogrefe Publishing Corp,Social Sciences Citation Index
8119,Journal of Critical Realism,Q1,Routledge Journals,Emerging Sources Citation Index
8120,Canadian Journal of Zoology,Q1,Canadian Science Publishing,Science Citation Index Expanded
8121,Zoosystema,Q1,,
8122,Criminal Justice Studies,Q1,Routledge Journals,Emerging Sources Citation Index
8123,Homicide Studies,Q1,Sage Publications Inc,Social Sciences Citation Index
8124,Journal of Microbiology and Biotechnology,Q2,Korean Soc Microbiology & Biotechnology,Science Citation Index Expanded
8125,Journal of the American Society of Brewing Chemists,Q2,Taylor & Francis Ltd,Science Citation Index Expanded
8126,Journal of Thermal Spray Technology,Q2,Springer,Science Citation Index Expanded
8127,Materials,Q2,Mdpi,Science Citation Index Expanded
8128,Australian Journal of Water Resources,Q2,,
8129,Measuring Business Excellence,Q2,Emerald Group Publishing Ltd,Emerging Sources Citation Index
8130,Pedobiologia,Q2,Elsevier Gmbh,Science Citation Index Expanded
8131,Acta Histochemica et Cytochemica,Q2,Japan Soc Histochemistry & Cytochemistry,Science Citation Index Expanded
8132,Clinics and Research in Hepatology and Gastroenterology,Q3,Elsevier Masson,Science Citation Index Expanded
8133,"Crime, Media, Culture",Q1,,
8134,Journal of Public Affairs,Q1,Wiley,Emerging Sources Citation Index
8135,AStA Advances in Statistical Analysis,Q2,,
8136,Bulletin of Geosciences,Q2,Czech Geological Survey,Science Citation Index Expanded
8137,Austral Entomology,Q2,Wiley,Science Citation Index Expanded
8138,International Journal of Event and Festival Management,Q2,Emerald Group Publishing Ltd,Emerging Sources Citation Index
8139,IEEE Computer Graphics and Applications,Q2,Ieee Computer Soc,Science Citation Index Expanded
8140,International Journal of Distributed Sensor Networks,Q2,Hindawi Ltd,Science Citation Index Expanded
8141,Cardiovascular Ultrasound,Q2,Bmc,Science Citation Index Expanded
8142,Gynecological Endocrinology,Q2,Taylor & Francis Ltd,Science Citation Index Expanded
8143,Journal of Agromedicine,Q2,Taylor & Francis Inc,Science Citation Index Expanded
8144,Pain Research and Management,Q2,,
8145,AIDS Research and Human Retroviruses,Q3,Mary Ann Liebert,Science Citation Index Expanded
8146,Dementia and Geriatric Cognitive Disorders Extra,Q3,Karger,Emerging Sources Citation Index
8147,British Journal of Religious Education,Q1,Routledge Journals,Social Sciences Citation Index | Arts & Humanities Citation Index
8148,Journal of Logic and Computation,Q1,Oxford Univ Press,Science Citation Index Expanded
8149,Critical Studies in Media Communication,Q1,Routledge Journals,Social Sciences Citation Index
8150,"Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology",Q2,,
8151,Health Care for Women International,Q2,Taylor & Francis Inc,Social Sciences Citation Index
8152,"Journal of Dynamic Systems, Measurement and Control, Transactions of the ASME",Q2,,
8153,International Journal of Environmental Health Research,Q2,Taylor & Francis Ltd,Science Citation Index Expanded
8154,"Journal of Policy Research in Tourism, Leisure and Events",Q2,,
8155,Team Performance Management,Q2,Emerald Group Publishing Ltd,Emerging Sources Citation Index
8156,Eurasian Mathematical Journal,Q2,L N Gumilyov Eurasian Natl Univ,Emerging Sources Citation Index
